workload,config,completed,instructions,cycles,ipc,speedup_vs_no_pref,speedup_vs_bop_default,dcache_hit,dcache_miss,dcache_miss_rate,dcache_miss_reduction_vs_no_pref,mlc_hit,mlc_miss,mlc_miss_rate,mlc_miss_reduction_vs_no_pref,pref_issued,pref_useful,pref_accuracy,pref_coverage_vs_no_pref,bop_pref_issued,bop_rr_fill_updates,bop_rr_hit_score_inc,bop_phase_complete,bop_phase_on,bop_phase_off,bop_phase_on_ratio,bop_dropped_page,bop_dropped_page_ratio,bop_test_offset_events,bop_rr_hit_score_rate,bop_inflight_insert,bop_inflight_miss
507.cactuBSSN_r,score_15,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,30227.0,4968817.0,0.9939534438984734,0.005942358938245684,2.0,75738.0,0.9999735938737787,0.031929035226749836,5120.0,4.0,0.00078125,8.002368701135537e-07,5120.0,35.0,0.0,15.0,0.0,15.0,0.0,79.0,0.015195229851894596,79034.0,0.0,5120.0,0.0
507.cactuBSSN_r,score_63,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,30227.0,4968817.0,0.9939534438984734,0.005942358938245684,2.0,75738.0,0.9999735938737787,0.031929035226749836,5120.0,4.0,0.00078125,8.002368701135537e-07,5120.0,35.0,0.0,15.0,0.0,15.0,0.0,79.0,0.015195229851894596,79034.0,0.0,5120.0,0.0
520.omnetpp_r,bad_0,1.0,5000000.0,5181132.0,0.9650400723239632,1.0130241808160843,1.0,2206666.0,196852.0,0.08190161255293282,-0.0025413413596939716,32195.0,56385.0,0.6365432377511854,0.017015045065462586,48279.0,8593.0,0.17798628803413494,0.043763018644991415,48279.0,33634.0,741.0,9.0,9.0,0.0,1.0,1484.0,0.029821353214235475,49763.0,0.014890581355625666,48279.0,42.0
520.omnetpp_r,bad_2,1.0,5000000.0,5181132.0,0.9650400723239632,1.0130241808160843,1.0,2206666.0,196852.0,0.08190161255293282,-0.0025413413596939716,32195.0,56385.0,0.6365432377511854,0.017015045065462586,48279.0,8593.0,0.17798628803413494,0.043763018644991415,48279.0,33634.0,741.0,9.0,9.0,0.0,1.0,1484.0,0.029821353214235475,49763.0,0.014890581355625666,48279.0,42.0
520.omnetpp_r,bad_4,1.0,5000000.0,5181132.0,0.9650400723239632,1.0130241808160843,1.0,2206666.0,196852.0,0.08190161255293282,-0.0025413413596939716,32195.0,56385.0,0.6365432377511854,0.017015045065462586,48279.0,8593.0,0.17798628803413494,0.043763018644991415,48279.0,33634.0,741.0,9.0,9.0,0.0,1.0,1484.0,0.029821353214235475,49763.0,0.014890581355625666,48279.0,42.0
520.omnetpp_r,bop_default,1.0,5000000.0,5181132.0,0.9650400723239632,1.0130241808160843,1.0,2206666.0,196852.0,0.08190161255293282,-0.0025413413596939716,32195.0,56385.0,0.6365432377511854,0.017015045065462586,48279.0,8593.0,0.17798628803413494,0.043763018644991415,48279.0,33634.0,741.0,9.0,9.0,0.0,1.0,1484.0,0.029821353214235475,49763.0,0.014890581355625666,48279.0,42.0
520.omnetpp_r,no_pref,1.0,5000000.0,5248612.0,0.9526328103506222,1.0,0.987143267591508,2207880.0,196353.0,0.08166970505770448,0.0,32213.0,57361.0,0.6403755554067029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.omnetpp_r,off_all_128,1.0,5000000.0,5214388.0,0.9588852996746694,1.0065633780992131,0.9936222620948039,2206398.0,197171.0,0.08203259402996128,-0.004165966397253973,32199.0,56566.0,0.6372556750971666,0.013859591011314287,47899.0,7853.0,0.16394914298837138,0.03999429598732894,47899.0,35470.0,566.0,3.0,3.0,0.0,1.0,2005.0,0.040177140109009295,49904.0,0.011341776210323822,47899.0,41.0
520.omnetpp_r,off_all_32,1.0,5000000.0,5203174.0,0.9609519112756945,1.008732746588909,0.9957637395943323,2206975.0,196532.0,0.08176884860331174,-0.0009116234536779011,32198.0,56458.0,0.6368209709438729,0.015742403375115455,48183.0,8135.0,0.1688354813938526,0.04143048489200572,48183.0,34597.0,1697.0,15.0,15.0,0.0,1.0,1671.0,0.03351787218678541,49854.0,0.034039395033497816,48183.0,36.0
520.omnetpp_r,off_all_64,1.0,5000000.0,5191585.0,0.9630970117989015,1.0109845066583711,0.9979865493871333,2206694.0,196849.0,0.08189951251132183,-0.002526062754325098,32207.0,56389.0,0.6364734299516909,0.016945311274210728,48276.0,8641.0,0.17899163145248156,0.04400747633089385,48276.0,34668.0,1036.0,7.0,7.0,0.0,1.0,1577.0,0.031633001023007645,49853.0,0.020781096423485045,48276.0,40.0
